timestamp,label,accuracy,content
20221011123932524,Still,100,{'Still': 100}
20221011124006704,Still,100,{'Still': 100}
20221011124046600,Still,100,{'Still': 100}
20221011124123955,Still,96,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 96, 'Unknown': 2, 'Walking': 1}"
20221011124216232,Still,44,"{'InVehicle': 23, 'OnBycicle': 2, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}"
20221011124257445,Still,53,"{'InVehicle': 10, 'OnBycicle': 4, 'OnFoot': 22, 'Still': 53, 'Unknown': 3, 'Walking': 22}"
20221011124330783,Still,100,{'Still': 100}
20221011124407265,Still,100,{'Still': 100}
20221011124443597,Still,100,{'Still': 100}
20221011124521475,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011124614161,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011124823866,Still,50,"{'InVehicle': 20, 'OnBycicle': 1, 'OnFoot': 8, 'Still': 50, 'Unknown': 2, 'Walking': 8}"
20221011124858224,Still,100,{'Still': 100}
20221011131440646,Still,100,{'Still': 100}
20221011131549555,Still,100,{'Still': 100}
20221011131636347,Still,100,{'Still': 100}
20221011131654987,Still,100,{'Still': 100}
20221011131658734,Still,100,{'Still': 100}
20221011131737365,Still,100,{'Still': 100}
20221011131818756,Still,100,{'Still': 100}
20221011133402502,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011133441468,Still,100,{'Still': 100}
20221011133515630,Still,100,{'Still': 100}
20221011133557520,Still,66,"{'InVehicle': 5, 'OnBycicle': 8, 'OnFoot': 14, 'Still': 66, 'Unknown': 3, 'Walking': 14}"
20221011134031918,Still,100,{'Still': 100}
20221011134241473,Still,44,"{'InVehicle': 21, 'OnBycicle': 3, 'OnFoot': 15, 'Still': 44, 'Unknown': 2, 'Walking': 15}"
20221011134447645,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011134602480,Still,100,{'Still': 100}
20221011135551277,Still,43,"{'InVehicle': 27, 'OnBycicle': 5, 'OnFoot': 10, 'Still': 43, 'Unknown': 1, 'Walking': 10}"
20221011135839984,Still,100,{'Still': 100}
20221011135917423,Still,100,{'Still': 100}
20221011135954852,Still,100,{'Still': 100}
20221011140048401,Still,100,{'Still': 100}
20221011140122712,Still,100,{'Still': 100}
20221011140200111,Still,100,{'Still': 100}
20221011140243023,Still,100,{'Still': 100}
20221011140320554,Still,100,{'Still': 100}
20221011140358032,Still,100,{'Still': 100}
20221011140433928,Still,100,{'Still': 100}
20221011140511411,Still,100,{'Still': 100}
20221011140548833,Still,100,{'Still': 100}
20221011140639637,Still,100,{'Still': 100}
20221011140717014,Still,100,{'Still': 100}
20221011141036844,Still,100,{'Still': 100}
20221011141054205,Still,100,{'Still': 100}
20221011141258493,Still,55,"{'InVehicle': 7, 'OnBycicle': 3, 'OnFoot': 28, 'Running': 1, 'Still': 55, 'Unknown': 1, 'Walking': 28}"
20221011141415066,Still,98,"{'OnFoot': 1, 'Still': 98, 'Unknown': 1, 'Walking': 1}"
20221011141615022,Still,100,{'Still': 100}
20221011141850202,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011141906063,Still,100,{'Still': 100}
20221011141938809,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011142019780,Still,37,"{'InVehicle': 10, 'OnBycicle': 8, 'OnFoot': 34, 'Running': 1, 'Still': 37, 'Unknown': 2, 'Walking': 34}"
20221011142121140,Still,32,"{'InVehicle': 24, 'OnBycicle': 4, 'OnFoot': 15, 'Still': 32, 'Unknown': 2, 'Walking': 15}"
20221011142232523,Still,100,{'Still': 100}
20221011142310059,Still,100,{'Still': 100}
20221011142611886,Still,100,{'Still': 100}
20221011142637985,Still,100,{'Still': 100}
20221011142730660,Still,100,{'Still': 100}
20221011142805655,Still,100,{'Still': 100}
20221011142840292,Still,100,{'Still': 100}
20221011142917726,Still,100,{'Still': 100}
20221011142951632,Still,100,{'Still': 100}
20221011143028846,Still,100,{'Still': 100}
20221011143104035,Still,100,{'Still': 100}
20221011143141407,Still,100,{'Still': 100}
20221011143218832,Still,100,{'Still': 100}
20221011143249809,Still,100,{'Still': 100}
20221011143327145,Still,100,{'Still': 100}
20221011143402458,Still,100,{'Still': 100}
20221011143438454,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011143535516,Still,100,{'Still': 100}
20221011153012112,Still,100,{'Still': 100}
20221011153051077,Still,100,{'Still': 100}
20221011153128489,Still,100,{'Still': 100}
20221011153214043,Still,44,"{'InVehicle': 24, 'OnBycicle': 3, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}"
20221011153330670,Still,100,{'Still': 100}
20221011153408145,Still,100,{'Still': 100}
20221011153446088,Still,100,{'Still': 100}
20221011153524215,Still,100,{'Still': 100}
20221011153601662,Still,100,{'Still': 100}
20221011153634820,Still,100,{'Still': 100}
20221011153712253,Still,100,{'Still': 100}
20221011153750051,Still,100,{'Still': 100}
20221011153835881,Still,100,{'Still': 100}
20221011153913277,Still,100,{'Still': 100}
20221011153950678,Still,100,{'Still': 100}
20221011154025239,Still,100,{'Still': 100}
20221011154059766,Still,100,{'Still': 100}
20221011154137201,Still,100,{'Still': 100}
